Lyric,Genre,Artist
"You know I want you. It's not a secret I try to hide. You know you want me. So don't keep saying our hands are tied. You claim it's not in the cards. And fate is pulling you miles away. And out of reach from me. But you're here in my heart. So who can stop me if I decide. That you're my destiny?. What if we rewrite the stars?. Say you were made to be mine. Nothing could keep us apart. You'd be the one I was meant to find. It's up to you, and it's up to me. No one can say what we get to be. So why don't we rewrite the stars?. Maybe the world could be ours. Tonight. You think it's easy. You think I don't want to run to you. But there are mountains (There are mountains). And there are doors that we can't walk through. I know you're wondering why. Because we're able to be. Just you and me. Within these walls. But when we go outside. You're gonna wake up and see. That it was hopeless after all. No one can rewrite the stars (Rewrite the stars). How can you say you'll be mine?. Everything keeps us apart. And I'm not the one you were meant to find. (I'm not the one you were meant to find). It's not up to you, it's not up to me, yeah. When everyone tells us what we can be (Tells us what we can). And how can we rewrite the stars?. Say that the world can be ours tonight (Be ours). All I want is to fly with you. All I want is to fall with you. So just give me all of you. It feels impossible. It's not impossible. Is it impossible?. Say that it's possible. And how do we rewrite the stars?. Say you were made to be mine. And nothing can keep us apart. 'Cause you are the one I was meant to find. It's up to you, and it's up to me. No one could say what we get to be. And why don't we rewrite the stars?. Changing the world to be ours. You know I want you. It's not a secret I try to hide. But I can't have you. We're bound to break and my hands are tied",Pop,James Arthur
"I got your emails. You just don't get females. Now, do you?. What's in the heart. Is not on your head. Anywhere. Mate, you're too late. And you weren't worth the wait. Now, were you?. It's out of my hands. Since you blew your last chance. When you played me. You'll have to cry me out. You'll have to cry me out. The tears that I'll fall. Mean nothing at all. It's time to get over yourself. Baby, you ain't all that. Maybe, there's no way back. You can keep talking. But, baby, I'm walking away. When I found out. How you messed me about. I was broken. Back then I believed you. Now, I don't need you. No more. The pick on your phone. Proves you weren't alone. She was with you, yeah. Now, I couldn't care. That you weren't aware. We're through. You'll have to cry me out. You'll have to cry me out. The tears that I'll fall. Mean nothing at all. It's time to get over yourself. Baby, you ain't all that. Maybe, there's no way back. You can keep talking. But, baby, I'm walking away. Gonna have to cry me out. Gonna have to cry me out. Boy, there ain't no doubt. Gonna have to cry me out. Won't hurt a little bit. Boy, better get used to it. You can keep talking. But, baby, I'm walking away. Listen, I got the emails. I got the text. The answer's still the same. It's the way it is. I got to go. You'll have to cry me out. You'll have to cry me out. The tears that I'll fall. Mean nothing at all. It's time to get over yourself. Baby, you ain't all that. Maybe, there's no way back. You can keep talking. But, baby, I'm walking away. You'll have to cry me out. You'll have to cry me out. The tears that I'll fall. Mean nothing at all. It's time to get over yourself. 'Cause baby, you ain't all that. Maybe, there's no way back. You can keep talking. But, baby, I'm walking away",Pop,Pixie Lott
"Let's get started. Move in for the kill. So sincere. I'm here to bend your will. A man without a face. I give you love you've never known. We can hold each other, sight unseen. Touchin' on our darkest dream. You can wish for something bad. Lovers' lips you never had. All she wants is your love. All she wants is your love. (CHORUS). We're the party with no name. And we go from flame to flame. We've got one claim to fame. We're the party with no name. Make those footsteps to the floor. You can't see us anymore. Ain't no time for the shame. For the party with no name. Easy money. Get yourself a job. It's my invitation. Been alone too long. A soul without a space. A party with no mane. Truth is there, but she don't see. Her life is just a mystery. I'd give her more than I could give. I'd even die that she could live. All she wants is your love. All she wants is your love. (CHORUS). We're the party with no name. And we go from flame to flame. We've got one claim to fame. We're the party with no name. All she wants is your love. All she wants is your love.",Pop,Bee Gees
"Girl you're so special (x2). I want you right now, scent of your perfume makes me want you more. When I smell ya, I'm lovin' yo style,. You stand out in the crowd,. See you're so exclusified, don't really have to tell ya,. Girl you're so special, you're so special. I know it when I met you. It's what I have to step too. You, you're so special, you're so special. Girl just let me carress you, Yeaa,. Just let me bless you. Girl 'cause you're special. Special with the way your body calls me,. Special with the way you put it all on me,. Special in the way you're self-controling. No need to wake me up, I'm happy in my dream. I want you right now, scent of your perfume makes me want you more. When I smell ya, I'm lovin' yo style,. You stand out in the crowd,. See you're so exclusified, don't really have to tell ya,. Girl you're so special, you're so special, I knew it when I met you. That's why I had to get you,. Girl you're so special, you're so special. Girl just let me carress me, yeaa, just let me bless,. Girl 'cause you're special. I wanna take the time to just look at you and hope. one day you will be my present,. God damn you're so fine, I might have crossed the line. I'm just so consumed, I just appreciate you're present. So special she's a dime, special with the way your. body calls me,. Special with the way you put it all on me, special in the way you're self-controlling,. No need to wake me up I'm happy in my dream. You're so special, I knew it when I met you, that's why I had to get you. Girl you're so special, you're so special. Girl just let me carress you, yeaaa, just let me. bless you,. Girl 'cause you're special. I want you right now, scent of your perfume makes me want you more. When I smell ya, I'm lovin' yo style,. You stand out in the crowd,. See you're so exclusified, don't really have to tell ya,. Girl you're so special. I want you right now, scent of your perfume makes me want you more. When I smell ya, I'm lovin' yo style,. You stand out in the crowd,. See you're so exclusified, don't really have to tell ya,. Girl you're so special, you're so special, I knew it when I met you. That's why I had to get you,. Girl you're so special, you're so special. Girl just let me carress you, yeaaa, just let me. bless you. Girl 'cause you're special",Pop,Akon
"Oh, whoa, whoa, whoa. Would you mind, would you mind?. I like the way you're movin'. Come fill me with your music, yeah, yeah. Do you mind if I try?. I like the way you're movin'. Control me, make me lose it, ayy, yeah. Would you mind? Would you mind, baby?. How you want it? How you want it?. Tell me how you want it. Hot as mama's cookin' in the kitchen during summer. 'Cause if you want it I could serve it, come and get it. Won't you let me clean the plate and do the dishes?. All that I want is to be all you need. Baby, in fact. Ooh, your good lovin' did something to me. You make me, make me wanna. Touch you right there. You make me, make me wanna. Kiss you over there. You make me, make me wanna. Uh, uh, yeah. You make me, make me wanna. Do that thing and do that thing, yeah. You make me, make me wanna. Touch you right there. You make me, make me wanna. Kiss you over there. You make me, make me wanna. Uh, uh, yeah. You make me, make me wanna. You make me, make me wanna. Wanna stay long, love you. [Gunna:]. I got your back, I wouldn't front (Wouldn't front). I came that night, you know I want it (Want it). I wake up to you in the morning (Morning). And eat that pussy up for lunch (Eat that pussy up for lunch). And I take care you like a son (I take care you like a son). Heard they would talk but not on Sunday. Every day she help me count as Monday. Bought her diamonds just to match with the Chanel purse (Chanel). We stick together, we can take over the whole world (Whole). I know you expectin' it straighter than an S-curl (Whoa). You constantly winning and shittin' on my ex-girl (Girl). You make me, make me wanna. Touch you right there. You make me, make me wanna. Kiss you over there. You make me, make me wanna. Uh, uh, yeah. You make me, make me wanna. Do that thing and do that thing, yeah. You make me, make me wanna. Touch you right there. You make me, make me wanna. Kiss you over there. You make me, make me wanna. Uh, uh, yeah. You make me, make me wanna. You make me, make me wanna. Wanna stay long, love you. Stay long, love. Stay long, love (Stay, stay, stay). Stay long, love. Stay long, love (Stay, stay). Stay long, love (Stay). Stay long, love. Talk to me now. You make me, make me wanna (You make me wanna touch you). Touch you right there. You make me, make me wanna (You make me wanna kiss you). Kiss you over there. You make me, make me wanna (Oh-oh). Uh, uh, yeah (Oh yeah). You make me, make me wanna. Do that thing and do that thing, yeah (You make me wanna). You make me, make me wanna. Touch you right there (Touch you right there). You make me, make me wanna. Kiss you over there. You make me, make me wanna. Uh, uh, yeah (Oh, you make me). You make me, make me wanna. You make me, make me wanna. Wanna stay long, love you",Pop,Mariah Carey
"Jonathan david. I know you like her. Well, I like her too. I know she likes you. It’s not as if I’m being sent off to war. There are worse things in this world. There’s still room in my wooden horse for two. I was jonathan to your david. You’re still king. Well I thought about her. I dreamed she’d come. I’d make my escape. I thought she liked but somehow I was wrong. I know you don’t want it this way. But it’s ok. It’s not like we’ll be parted. It’s not like we’ll never know love. And she’ll smile for you. She’ll hold your hand. You’ll be in love, there’s no other way. And I will make it someday. Well, I know you like her. Well, I like her too. I know she likes you. It’s not as if I’m being sent off to war. There are worse things in this world. There’s still room in my wooden horse for two. I was jonathan to your david. You’re still king. Visions of love recolected. Have we ever been true?. I know that I have. It’s time for you to go. It’s all in the stones that you throw. I want you to know. It’s not like we’ll be parted. It’s not like we’ll never know love. And she’ll smile for you. She’ll hold your hand. You’ll be in love, there’s no other way. And I will make it someday. People say that. We’ll never change. We’ll never change. But I have. You and her in the local newspaper. You will be married and you’ll be gone. Married and you’ll be gone.",Pop,Belle & Sebastian
"Girl i love it when you. Wind it, wind it, wind it, wind it, wind it. You shut the club down. You shut the club down. You shut the club down. You shut the club down. Girl I wanna see you. Wind it, wind it, wind it, wind it, wind it. Girl, shut the club down. Girl, shut the club down. Girl, shut the club down. Girl, shut the club down. Girl I wanna see you. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it.... Baby wind it drop, it low, you bring it. Back now, drop it slow. Don't have to ask, don't wanna have. Oh look here, and wind it back. Slow it down, and we watch the whole way down. I, I see girl you know you, got me moving. And I can feel your body grooving. I can float now pull me over. Let me bring your body, back the whole way down. And we watch the whole way down. I'm northern lights, she a southern girl. Magazine love, be my cover girl. She's a flight gal, be my cover girl. Mighty fly job, ain't no time for worse. I love to work, no one for other dirt. Them other woman she don't see them. like they over thur. They be hating cause I leave her in December 3rd. All though they love you,. it feels like they don't care. Oh my gosh. Oh my gosh. Oh my gosh. You are now the finest, woman on my roster. You know I'm tryna drag, it over like a lockter. You dancing like a movie, you driven off the set. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it.... I can't wait till the sun goes down then. You dance with me, let go go down. I can't wait till the sun goes down then. You dance with me, let go go down. Aahh, right now,. we're in that. swag, swag, swag. I can't wait till the sun goes down then (Ah). You dance with me, let go go down (right now). I can't wait till the sun goes down then (we're in). You dance with me, let go go down (swag,swag,swag). I can't wait till the sun goes down then. You dance with me, let go go down. I can't wait till the sun goes down then. You dance with me, let go go down (swag,swag,swag). Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it.... Girl i love it when you. Wind it, wind it, wind it, wind it, wind it. You shut the club down. You shut the club down. You shut the club down. You shut the club down. Girl I wanna see you. Wind it, wind it, wind it, wind it, wind it. Girl, shut the club down. Girl, shut the club down. Girl, shut the club down. Girl, shut the club down. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it. Please just press rewind it. Wind it, wind it...",Pop,Justin Bieber
"Yeah flow stupid. This is how I do it. Maybach flow nigga you are in the buick. Your girl a doodoo momma. So you know I don’t give 2 shits. Ain’t no grey area. I just breed them blue pits. Niggas talk tough but they don’t want it though. Confront it to your face and then I’ll tell your man that he a hoe. Bow wizzle I’m as real as it gets. I’m either getting money or boning a chick. Counting all this money. All these bottles we popping. In a club with the models. Got so many options. Nigga talk your shit. Yeah they hate me they watching. They know my flow ill. I be spitting and hulking, biatch. At 15 the bentley was a kid’s dream. Now these couple links got me speaking like I’m european. A hundred thousand packed at the show in manila. Then I’m down in africa where the kids are the killers. Got a mind of a king but a heart of a gorilla. You can imitate but ain’t nobody realer. Yeah I’m counting all this money. Milli for the bugatti. And my girl ass thick like buffy the body. And which one I’ma choose. I think her with the woos. I keep paper like the kid in elementary school. You know I’m smoking on the finest. G5 to the islands. I’m too fly yeah it’s like I’m on autopilot. Man stop it I’m way outta your league. See it’ll take a lifetime to spend all this cheese. I got a new bitch for erryday of the week. Suck a nigga off until I’m fast asleep. You know…. Take it back to the hood. Screaming father forgive us. All my killers what’s good. You know my flow is like murder. Go on give me a sentence. Got too many bars you think I’m building a prison. Anything that I sing is a hit, car collision. How you got all that mouth and your heart is missing. Stop playing with me y’all lames to me. Me and chris got our weight up. Better your cake up. Like g&c get your weight up",Pop,Chris Brown
"You said I was Nothern scum. I was wounded baby. That's fighting talk where I'm from. And I'm not moving baby. Spent my life dancing with shadows in strobe lights. It's allright, everything mellows in sunlight. And now London's got its gimmicks. And New York's had its minute. But Knutsford City Limits. I'll never change. I've been running nearly all my life. It left me broken baby. When the meter ran out on life. I used my tokens lady. Spent my life dancing with shadows in strobe lights. It's allright, everything mellows in sunlight. And now London's got its gimmicks. And New York's had its minute. But Knutsford City Limits. I'll never change. London's got its gimmicks. And New York's had its minute. But Knutsford City Limits. I'll never change. I've been running nearly all my life. It left me broken baby. When the meter ran out on life. I used my tokens lady. You said I was Nothern scum. I was wounded baby. That's fighting talk where I'm from. And I'm not moving baby. London's got its gimmicks. And New York's had its minute. But Knutsford City Limits. I'll never change. Saw one transmission. On the television. Saying I can't do my job. Well I just kept dancing. Don't hate me 'cause I'm handsome. And the beat will never stop. Repeat....",Pop,Robbie Williams
"[Mike Posner:]. Alright. I don't give a fuck about being famous. I wasn't supposed to be a star. And no one ever told me there'd be nights like these. Noo. I just wanna smoke with my friends in the park like we used to. Now I'm driving down Melrose. Shit is really kinda feelin' like a hell hole. And I don't know. Where did all my friends go. Tell me where did all my friends go?. [CHORUS]. This is what you listen to in the marauder. When you don't give a fuck about anything. This is what you listen to in the marauder. This is the soundtrack to the game, game, game. [Blackbear:]. I don't need no Rolls Royce or a Bentley, no no. Cause none of my heroes had those. I wonder if I'm supposed to do like them and die young. Ohh... cause now I'm someone else's hero. (I drive slow). And now I'm driving through my hometown. The one that every time I go will always hold down (every show). And now it's feeling like a ghost town. Why is it feeling like a ghost town?. [CHORUS]. This is what you listen to in the marauder (in the marauder). When you don't give a fuck about anything (anything). This is what you listen to in the marauder (in the marauder). This is the soundtrack to the game, game, game. Yeah, yeah, marauder music, fuck a Maybach. Soundtrack to the... let's go, hey, hey. [CHORUS]. This is what you listen to in the marauder (in the marauder). When you don't give a fuck about anything (uh uh). This is what you listen to in the marauder (in the marauder). This is the soundtrack to the game, game, game. Yeah, Oh, Aha, aha. In the marauder, anything, no, no, no. In the marauder, alright, ah, ah, aha",Pop,Mike Posner
"[J Balvin:]. I'm here like for one night. So we don't gotta waste time. I know that you feel it. My hands upon your waist land. So won't you, come closer. Let me know you're all mine (let me know). Let me know you're all mine (let go). And I might stay tonight. But not for long. And I might say goodbye. Right now, baby, right now. [J Balvin (Camila Cabello) :]. (I need you). Hey mama, hey mama, hey mama, hey ma'. (I need you). Hey mama, hey mama, hey mama, hey ma'. Girl, it's getting hotter. I can't take much more. (I need you). Hey mama, hey mama, hey mama, hey ma'. (I need you). [Pitbull (J Balvin) {Camila Cabello} :]. I am what they wanna be. Check the stacks. James Bond in the flesh, girl. That's a fact. I was raised by old g's. So I'm low key (uh huh). How much you need?. And you like. ""Baby believe me"". I'm a freak. That can eat, that can beat. That can treat you like that queen. That you was meant to be. {Oh yeah}. I'm the good, I'm that raw. Slick on the dong. With nothing to something. To had it all. Now, mami, just watch, learn and listen. I've got a feeling so good she stay switchin'. But before I banish. She spoke Spanish. She said: ""Papito rico, te necesito"". [Camila Cabello:]. I might stay tonight. But not for long. And I might say goodbye. But right now, yeah baby, right now. [J Balvin (Camila Cabello) :]. (I need you). Hey mama, hey mama, hey mama, hey ma'. (I need you). Hey mama, hey mama, hey mama, hey ma'. Girl, it's getting hotter. I can't take much more. (I need you). Hey mama, hey mama, hey mama, hey ma'. (I need you. I need you). (If you touch me right). If you touch me right. (I might stay the night). I might stay the night. (Oh, we can take our time). We could take our time. (I know we gotta say goodbye). No, no, no. (I know we gotta say goodbye. No, no, no, no, no, no). (I need you). Hey mama, hey mama, hey mama, hey ma'. (I need you). Hey mama, hey mama, hey mama, hey ma'. Girl, it's getting hotter. I can't take much more. (I need you). Hey mama, hey mama, hey mama, hey ma'. (I need you. I need you. I need you, hey!. Pa mi gente latina, stand up!. Cuba!). I need you",Pop,Pitbull
